,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
250,0.183,0.827,0.629,0.0,0.084,-3.966,0.185,88.064,0.486
251,0.631,0.449,0.42,0.0,0.0805,-9.624,0.356,176.989,0.41
252,0.105,0.639,0.685,0.0,0.143,-4.571,0.049,110.041,0.363
253,0.203,0.714,0.686,7.76e-06,0.102,-6.333,0.0445,127.015,0.828
254,0.351,0.489,0.878,0.0,0.698,-3.36,0.368,81.497,0.775
255,0.754,0.591,0.49,0.0,0.386,-13.387,0.0424,96.976,0.965
256,0.113,0.84,0.932,0.00102,0.0839,-5.041,0.179,137.969,0.879
257,0.0454,0.635,0.543,0.000678,0.272,-5.941,0.067,98.743,0.036
258,0.125,0.784,0.298,3.19e-05,0.0678,-9.56,0.0542,87.172,0.846
259,0.857,0.552,0.371,0.0,0.0838,-9.104,0.0359,199.843,0.245
260,0.32,0.817,0.814,0.0,0.152,-3.985,0.185,109.994,0.247
261,0.0277,0.826,0.647,1.52e-06,0.298,-6.306,0.0491,102.017,0.872
262,0.207,0.759,0.639,0.0,0.23,-8.085,0.0511,128.01,0.682
263,0.0259,0.743,0.424,0.00105,0.112,-6.958,0.51,201.066,0.266
264,0.00607,0.559,0.889,0.0,0.476,-3.995,0.0434,129.063,0.628
265,0.533,0.797,0.75,0.108,0.095,-9.369,0.247,177.87,0.74
266,0.0283,0.616,0.869,0.0,0.064,-3.911,0.0327,127.966,0.473
267,0.121,0.788,0.842,0.00112,0.166,-4.006,0.142,190.077,0.481
268,0.0465,0.752,0.586,0.0,0.0554,-7.896,0.071,92.033,0.815
269,0.0152,0.817,0.646,0.0,0.125,-5.12,0.249,162.898,0.835
270,0.337,0.63,0.446,0.0,0.166,-8.9,0.0351,143.078,0.177
271,0.667,0.662,0.403,0.0,0.0527,-12.029,0.0291,119.891,0.85
272,0.000417,0.654,0.875,0.0086,0.194,-4.845,0.0744,99.975,0.522
273,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,0.826
274,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,0.8
275,0.292,0.634,0.645,0.0,0.246,-9.2,0.0376,93.05,0.677
276,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,0.453
277,0.0139,0.538,0.863,0.0,0.0874,-4.483,0.0481,77.001,0.637
278,0.21,0.448,0.838,0.000131,0.131,-5.257,0.0557,139.863,0.254
279,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,0.0592
280,0.00495,0.423,0.73,1.13e-05,0.238,-5.566,0.032,205.972,0.66
281,0.114,0.755,0.536,0.0,0.0282,-5.605,0.12,138.969,0.882
282,0.843,0.55,0.271,3.21e-06,0.107,-8.451,0.0297,111.344,0.198
283,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
284,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
285,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
286,0.669,0.681,0.504,0.0,0.142,-11.099,0.0284,89.994,0.705
287,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
288,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
289,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
290,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236
